2a	W11
學號	
40223154	present
40323157	
40423101	present
40423103	present
40423104	present
40423105	present
40423106	present
40423107	present
40423108	present
40423109	
40423112	present
40423113	
40423114	
40423115	
40423116	present
40423117	
40423118	present
40423119	present
40423120	
40423121	present
40423122	
40423123	
40423124	
40423125	present
40423126	
40423127	present
40423128	
40423129	
40423130	
40423131	
40423132	present
40423133	present
40423135	
40423136	
40423137	
40423138	
40423139	present
40423140	present
40423141	present
40423143	present
40423144	
40423145	
40423146	present
40423147	present
40423148	
40423149	present
40423150	
40423152	present
40423154	
40423155	
40423157	
40443111	
